"","ROI_Name","X_position","Y_position","type","SegmentType","Gene","Expression"
"193","Cx. V, 009, Iba1+",19978,31299,"Cortical layer V - Iba1+","Iba1+","TYROBP",0.963373910873094
"194","Cx. II/III, 008, Iba1+",17781,32538,"Cortical layer II/III - Iba1+","Iba1+","TYROBP",1.38364361487516
"195","Cx. V, 033, Iba1+",14266,22500,"Cortical layer V - Iba1+","Iba1+","TYROBP",0.619988559803292
"196","Hipp. CA1, 021, Iba1+",19727,22092,"Hippocampus CA1 - Iba1+","Iba1+","TYROBP",1.20413593554122
"197","Cx. II/III, 032, Iba1+",12988,25768,"Cortical layer II/III - Iba1+","Iba1+","TYROBP",0.841821730604055
"198","Cx. II/III, 036, Iba1+",11922,23565,"Cortical layer II/III - Iba1+","Iba1+","TYROBP",1.92546549914627
"199","Hipp. Hilus, 014, Neuropil",29808.294921875,17616.25390625,"Hippocampal hilus - Neuropil","Neuropil","TYROBP",0.36566053333969
"200","Hipp. Hilus, 015, Neuropil",24204.931640625,16611.033203125,"Hippocampal hilus - Neuropil","Neuropil","TYROBP",0.586653085913425
"201","Hipp. Hilus, 016, Neuropil",26931.96875,17934.740234375,"Hippocampal hilus - Neuropil","Neuropil","TYROBP",-0.104014396878568
"202","Cx. V, 009, Neuropil",19978,31299,"Cortical layer V - Neuropil","Neuropil","TYROBP",0.0781666755321822
"203","Cx. II/III, 008, Neuropil",17781,32538,"Cortical layer II/III - Neuropil","Neuropil","TYROBP",-0.307544167004439
"204","Cx. V, 007, Neuropil",15150,24659,"Cortical layer V - Neuropil","Neuropil","TYROBP",-0.685488379539689
"205","Cx. V, 033, Neuropil",14266,22500,"Cortical layer V - Neuropil","Neuropil","TYROBP",-0.936982086271419
"206","Hipp. CA1, 017, Neuropil",17683,20128,"Hippocampus CA1 - Neuropil","Neuropil","TYROBP",-0.0259153356769207
"207","Hipp. CA1, 021, Neuropil",19727,22092,"Hippocampus CA1 - Neuropil","Neuropil","TYROBP",0.099691539605715
"208","Hipp. CA1, 019, Neuropil",16563,16483,"Hippocampus CA1 - Neuropil","Neuropil","TYROBP",-1.07655741944958
"209","Cx. II/III, 032, Neuropil",12988,25768,"Cortical layer II/III - Neuropil","Neuropil","TYROBP",-0.787318860168175
"210","Cx. II/III, 036, Neuropil",11922,23565,"Cortical layer II/III - Neuropil","Neuropil","TYROBP",-0.118385510231916
"211","Cx. V, 009, GFAP+",19978,31299,"Cortical layer V - GFAP+","GFAP+","TYROBP",-2.41123502288474
"212","Cx. II/III, 036, GFAP+",11922,23565,"Cortical layer II/III - GFAP+","GFAP+","TYROBP",-0.68548837953969
"213","Cx. II/III, 008, GFAP+",17781,32538,"Cortical layer II/III - GFAP+","GFAP+","TYROBP",-0.14366649526858
